##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HU1_MOCK1_L001_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	40237621
Sequences flagged as poor quality	0
Sequence length	50-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.99922480506489	37.0	37.0	37.0	37.0	37.0
2	36.179598888314	37.0	37.0	37.0	37.0	37.0
3	36.200584920266536	37.0	37.0	37.0	37.0	37.0
4	36.223720607140265	37.0	37.0	37.0	37.0	37.0
5	36.22587928346957	37.0	37.0	37.0	37.0	37.0
6	36.23911801346307	37.0	37.0	37.0	37.0	37.0
7	36.22526987865411	37.0	37.0	37.0	37.0	37.0
8	36.21621375180207	37.0	37.0	37.0	37.0	37.0
9	36.19007493012572	37.0	37.0	37.0	37.0	37.0
10-14	36.20933106358351	37.0	37.0	37.0	37.0	37.0
15-19	36.17499498789951	37.0	37.0	37.0	37.0	37.0
20-24	36.139631510520964	37.0	37.0	37.0	37.0	37.0
25-29	36.10096337951988	37.0	37.0	37.0	37.0	37.0
30-34	36.07731223473674	37.0	37.0	37.0	37.0	37.0
35-39	36.05092575925401	37.0	37.0	37.0	37.0	37.0
40-44	36.01465307802367	37.0	37.0	37.0	37.0	37.0
45-49	35.995253725363135	37.0	37.0	37.0	37.0	37.0
50-54	35.96042414112867	37.0	37.0	37.0	37.0	37.0
55-59	35.939012400186336	37.0	37.0	37.0	37.0	37.0
60-64	35.91239922819754	37.0	37.0	37.0	37.0	37.0
65-69	35.88589815441162	37.0	37.0	37.0	37.0	37.0
70-74	35.85449421248539	37.0	37.0	37.0	37.0	37.0
75-79	35.81499819789044	37.0	37.0	37.0	37.0	37.0
80-84	35.78138441571203	37.0	37.0	37.0	37.0	37.0
85-89	35.73056750742465	37.0	37.0	37.0	37.0	37.0
90-94	35.72556851242998	37.0	37.0	37.0	37.0	37.0
95-99	35.6261762682597	37.0	37.0	37.0	37.0	37.0
100-104	35.6285382797491	37.0	37.0	37.0	37.0	37.0
105-109	35.58386874917064	37.0	37.0	37.0	37.0	37.0
110-114	35.50620933661493	37.0	37.0	37.0	37.0	37.0
115-119	35.44763770366208	37.0	37.0	37.0	37.0	37.0
120-124	35.30569387210328	37.0	37.0	37.0	37.0	37.0
125-129	35.28552333663771	37.0	37.0	37.0	34.6	37.0
130-134	35.18675452716873	37.0	37.0	37.0	27.4	37.0
135-139	35.08586744262876	37.0	37.0	37.0	25.0	37.0
140-144	34.93724310904281	37.0	37.0	37.0	25.0	37.0
145-149	34.85486528244919	37.0	37.0	37.0	25.0	37.0
150-151	34.50973003648849	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.08989491506524416
1101	2	-0.045829930582307554
1101	3	0.04376490869417893
1101	4	0.015395410938246812
1101	5	-0.01569484884556971
1101	6	-0.024215321926391198
1101	7	-0.027692314525886275
1101	8	-0.0013207021200045688
1101	9	-0.10065076082210567
1101	10-14	0.006855034788607384
1101	15-19	0.03379613220124611
1101	20-24	0.050060486070726995
1101	25-29	0.002589078633022268
1101	30-34	0.048989210692681695
1101	35-39	-0.0012113369335153834
1101	40-44	-0.04450618631280889
1101	45-49	0.02294555753029215
1101	50-54	0.010008428575844164
1101	55-59	-0.011169221121761552
1101	60-64	0.027470630660069162
1101	65-69	0.02877616898790336
1101	70-74	0.015326476278794132
1101	75-79	0.07855251299536548
1101	80-84	0.03112549922063579
1101	85-89	0.021646636679498954
1101	90-94	0.01489363312610692
1101	95-99	-0.029648934341466315
1101	100-104	-0.02625450582323907
1101	105-109	0.03598773201369454
1101	110-114	-2.48821845069358E-4
1101	115-119	0.06578268608815563
1101	120-124	0.1340664289567428
1101	125-129	0.0828147252086282
1101	130-134	0.026005682378567485
1101	135-139	0.021781005143864718
1101	140-144	0.05729504925270135
1101	145-149	0.07640354398230897
1101	150-151	0.06453736488742834
1102	1	0.012636806230972297
1102	2	0.13297541321986017
1102	3	0.006849537024692154
1102	4	0.04634164843151467
1102	5	0.0752333149419755
1102	6	0.13109691155320746
1102	7	0.020281019867319117
1102	8	0.08154738628414293
1102	9	0.10009448421700995
1102	10-14	0.06018384887516959
1102	15-19	0.08469106242095847
1102	20-24	0.048664868181454324
1102	25-29	0.06322169770961494
1102	30-34	0.0781875357740276
1102	35-39	0.0882644825327148
1102	40-44	0.04040587479718738
1102	45-49	0.05613778027493055
1102	50-54	0.06704385432932014
1102	55-59	0.022355030624915173
1102	60-64	0.0741938166438274
1102	65-69	0.0688574209194428
1102	70-74	0.03510729597751805
1102	75-79	0.08254767000021701
1102	80-84	0.07418020641561895
1102	85-89	0.0681632239655201
1102	90-94	0.07938333346065463
1102	95-99	0.09656231050448838
1102	100-104	0.06869230438057627
1102	105-109	0.139949116312863
1102	110-114	0.05470966008032718
1102	115-119	0.1489455143478864
1102	120-124	0.1418687452836238
1102	125-129	0.11675861628588535
1102	130-134	0.04117522169895693
1102	135-139	0.07661299207859429
1102	140-144	0.13415402334140225
1102	145-149	0.33816131066721766
1102	150-151	0.15159365579351203
1103	1	0.1490799545310466
1103	2	0.08023398742839305
1103	3	0.08575568263503186
1103	4	0.051923513395024656
1103	5	0.10528168929034365
1103	6	0.09701674670551341
1103	7	0.03152985690317678
1103	8	0.10752156779963684
1103	9	0.07291041471928139
1103	10-14	0.08521325075003006
1103	15-19	0.05890634251619531
1103	20-24	0.04165636128133343
1103	25-29	0.13293002106993157
1103	30-34	0.0728045807015647
1103	35-39	0.053605214317137495
1103	40-44	0.06011346322404876
1103	45-49	0.08171636797963089
1103	50-54	0.0864722227319703
1103	55-59	0.07382050739504109
1103	60-64	0.05796356571831751
1103	65-69	0.12415406939731355
1103	70-74	0.09451706439692487
1103	75-79	0.1280272619728393
1103	80-84	0.05431649597422705
1103	85-89	0.09189680628495012
1103	90-94	0.06037379551463573
1103	95-99	0.1109623021435624
1103	100-104	0.09513451593778655
1103	105-109	0.1453545413878814
1103	110-114	0.12003787611106986
1103	115-119	0.10910385071385065
1103	120-124	0.22549874594036368
1103	125-129	0.2341920046179311
1103	130-134	0.0037357761437348813
1103	135-139	0.08792170616177941
1103	140-144	0.13707088925055189
1103	145-149	0.2971876910826623
1103	150-151	0.4048028899795355
1104	1	0.16535717530666005
1104	2	0.08157808263589317
1104	3	0.13066668758539635
1104	4	0.14761853591431162
1104	5	0.0884121553724384
1104	6	0.11298414214515873
1104	7	0.11897577985234875
1104	8	0.08394294848157102
1104	9	0.08199103081607717
1104	10-14	0.09922783532208967
1104	15-19	0.08737200088365427
1104	20-24	0.08956128135323382
1104	25-29	0.11428491460164736
1104	30-34	0.10643612092076893
1104	35-39	0.07688220955813563
1104	40-44	0.059412711214164915
1104	45-49	0.14807138680834697
1104	50-54	0.10690174029316069
1104	55-59	0.052998143693429256
1104	60-64	0.07446611724680707
1104	65-69	0.08598926852695854
1104	70-74	0.1203858890801115
1104	75-79	0.10182940403310425
1104	80-84	0.0988070322842276
1104	85-89	0.17000605129093316
1104	90-94	0.11847420928199881
1104	95-99	0.06300418929359353
1104	100-104	0.06317356864734336
1104	105-109	0.11329263215769458
1104	110-114	0.040385925661361455
1104	115-119	0.1357601527729102
1104	120-124	0.13439028386794405
1104	125-129	0.1564113477601765
1104	130-134	0.05372776004141855
1104	135-139	0.14974697390236713
1104	140-144	0.18986830638440466
1104	145-149	0.2035927107311295
1104	150-151	0.3486049113844558
1105	1	0.11466278102757599
1105	2	0.10759528989059675
1105	3	0.10579836419700683
1105	4	0.11787708581874057
1105	5	0.11478739396633841
1105	6	0.05674448460611359
1105	7	0.06726713558573749
1105	8	0.10473805023860194
1105	9	0.10347850066091269
1105	10-14	0.10203574151435646
1105	15-19	0.13960519478140299
1105	20-24	0.1011401351583956
1105	25-29	0.14203735570645648
1105	30-34	0.1479531749808345
1105	35-39	0.14986949534461047
1105	40-44	0.10373425701523331
1105	45-49	0.12916683390491812
1105	50-54	0.1211735971999417
1105	55-59	0.06608925157942735
1105	60-64	0.1426416238170063
1105	65-69	0.12113569989942619
1105	70-74	0.11880998567929169
1105	75-79	0.20460782007456402
1105	80-84	0.10426170317353467
1105	85-89	0.10520270114530916
1105	90-94	0.16708913228368516
1105	95-99	0.08459182901295748
1105	100-104	0.14640452499870804
1105	105-109	0.15796627831709742
1105	110-114	0.12990692284927974
1105	115-119	0.14921017189371355
1105	120-124	0.15091657940021008
1105	125-129	0.2222611724901853
1105	130-134	0.07364169192898373
1105	135-139	0.2112190535350038
1105	140-144	0.22154747337641112
1105	145-149	0.3541361277399133
1105	150-151	0.29513051559854375
1106	1	0.05331402186332923
1106	2	0.1252541091951258
1106	3	0.07557460745712063
1106	4	0.12548711765727205
1106	5	0.12306593255856768
1106	6	0.07846783485584297
1106	7	0.07125532223198405
1106	8	0.13857457238765392
1106	9	0.0954070058308929
1106	10-14	0.07007156947383208
1106	15-19	0.07146348543255243
1106	20-24	0.12014617191706378
1106	25-29	0.11915396742294604
1106	30-34	0.11232447659060085
1106	35-39	0.16200579289564843
1106	40-44	0.1104464774274021
1106	45-49	0.11312994799629195
1106	50-54	0.12133384451298213
1106	55-59	0.034659157014161224
1106	60-64	0.09268699045151862
1106	65-69	0.13172903598798769
1106	70-74	0.12551803195972155
1106	75-79	0.1228112558148311
1106	80-84	0.07041464349457272
1106	85-89	0.12659429921568943
1106	90-94	0.12054855876930048
1106	95-99	0.18565726981608321
1106	100-104	0.1310338486650764
1106	105-109	0.1719405603503148
1106	110-114	0.17704706116306568
1106	115-119	0.16842540975632403
1106	120-124	0.2555084012842599
1106	125-129	0.2299918290696894
1106	130-134	0.2207183832813655
1106	135-139	0.1535511939935148
1106	140-144	0.2947802822137575
1106	145-149	0.43951970582570254
1106	150-151	0.49414425899674796
1107	1	0.07245622775251803
1107	2	0.01391025546998037
1107	3	0.1207012872400739
1107	4	0.10145006137358337
1107	5	0.049203617732395344
1107	6	0.08843577218026866
1107	7	0.13580630173689912
1107	8	0.007435393410062829
1107	9	0.06811679073061327
1107	10-14	0.07198289200882613
1107	15-19	0.060147244066698136
1107	20-24	0.07684021627943594
1107	25-29	0.07992727766471575
1107	30-34	0.05128230654771926
1107	35-39	0.06963797338395494
1107	40-44	0.04188170567339711
1107	45-49	0.05340364369167361
1107	50-54	0.05224628386492469
1107	55-59	-0.026734379306915912
1107	60-64	0.07858564837256665
1107	65-69	0.06498551639240446
1107	70-74	0.035857069369996
1107	75-79	0.13321076491123307
1107	80-84	0.053478146806710924
1107	85-89	0.08627935933531461
1107	90-94	0.12133947383767207
1107	95-99	0.08088872519471124
1107	100-104	0.061739913370381316
1107	105-109	0.09112828599097611
1107	110-114	0.11944297176992791
1107	115-119	0.03114652932914197
1107	120-124	0.13992391782892355
1107	125-129	0.16698648081088407
1107	130-134	0.11106007115620287
1107	135-139	0.1536659282932149
1107	140-144	0.08440696584467133
1107	145-149	0.3300048138920175
1107	150-151	0.3502265487999665
1108	1	-0.0489881752096295
1108	2	-0.06740711715706027
1108	3	-0.012141819899234463
1108	4	0.06055658718757684
1108	5	0.11586103322702002
1108	6	0.0985950197936134
1108	7	0.03532525511141671
1108	8	0.005734953521127295
1108	9	0.02397366335615203
1108	10-14	0.04041863767836418
1108	15-19	0.0614190081291639
1108	20-24	-0.008545065678681851
1108	25-29	0.019075846189046786
1108	30-34	-0.012940790478317865
1108	35-39	0.013485306704971833
1108	40-44	0.00933078377119756
1108	45-49	0.019892862567672864
1108	50-54	0.023384171571180445
1108	55-59	-0.02084227682114914
1108	60-64	0.03390139675573778
1108	65-69	0.0319275350133168
1108	70-74	0.06697544025954016
1108	75-79	0.05432548907369039
1108	80-84	0.02826490241609747
1108	85-89	0.016111129259030577
1108	90-94	0.03879403678492821
1108	95-99	0.03402098136777454
1108	100-104	0.008762557114636138
1108	105-109	-0.0020493961892213974
1108	110-114	0.005260708343918452
1108	115-119	0.088109625806581
1108	120-124	0.17000320946250014
1108	125-129	0.15311201466452218
1108	130-134	0.031791011208419206
1108	135-139	0.07337032488323558
1108	140-144	0.11099344786312315
1108	145-149	0.26598125900928693
1108	150-151	0.3172162141258852
1109	1	0.13587043589194536
1109	2	-0.018510851169182274
1109	3	-0.05998468740242657
1109	4	0.0017430744073649862
1109	5	0.03961638955531299
1109	6	0.07992064880386351
1109	7	0.14167468770777703
1109	8	0.007042153928644268
1109	9	0.07679851367280577
1109	10-14	0.06067114123781181
1109	15-19	0.028648699579996162
1109	20-24	-0.01657003899688192
1109	25-29	0.024453604272679286
1109	30-34	0.03410599055535357
1109	35-39	0.05226949105700385
1109	40-44	0.00794495235160042
1109	45-49	0.07039367333410951
1109	50-54	0.011404885234640005
1109	55-59	-0.019657269551444756
